t,x,y,z
1.140000000000000124e+00,-7.654639805122214646e+00,-6.621719401495690605e+00,2.735400009637940499e+01
1.150000000000000133e+00,-7.556050937183605321e+00,-6.611254987529685323e+00,2.713089609774503330e+01
1.159999999999999920e+00,-7.466696497270113753e+00,-6.617310524536810235e+00,2.690726239406545872e+01
1.169999999999999929e+00,-7.387196898054883221e+00,-6.639809610052601840e+00,2.668485056973862157e+01
1.179999999999999938e+00,-7.318093542389000561e+00,-6.678481127670172768e+00,2.646537935867766578e+01
1.189999999999999947e+00,-7.259848823301488174e+00,-6.732859247040215322e+00,2.625053464431091044e+01
1.199999999999999956e+00,-7.212846123999304027e+00,-6.802283423871002377e+00,2.604196945958187470e+01
1.209999999999999964e+00,-7.177389817867343424e+00,-6.885898399928382929e+00,2.584130398694925290e+01
1.219999999999999973e+00,-7.153705268468441680e+00,-6.982654203035787432e+00,2.565012555838693586e+01
1.229999999999999982e+00,-7.141938829543368783e+00,-7.091306147074224242e+00,2.546998865538399670e+01
1.239999999999999991e+00,-7.142157845010832951e+00,-7.210414831982280504e+00,2.530241490894470147e+01
1.250000000000000000e+00,-7.154350648967477966e+00,-7.338346143756123041e+00,2.514889309958849850e+01
1.260000000000000009e+00,-7.178133610813012488e+00,-7.473821696966540529e+00,2.501051946048208308e+01
1.270000000000000018e+00,-7.212318140891555096e+00,-7.617741200707364158e+00,2.488731542882622705e+01
1.280000000000000027e+00,-7.256935504560345862e+00,-7.769643062857539917e+00,2.478063930251453328e+01
1.290000000000000036e+00,-7.312021230646093883e+00,-7.928735048637349792e+00,2.469185451266072562e+01
1.300000000000000044e+00,-7.377469012557200223e+00,-8.094104198037783249e+00,2.462215904623842633e+01
1.310000000000000053e+00,-7.453030708283761463e+00,-8.264716825820537238e+00,2.457258544608113482e+01
1.320000000000000062e+00,-7.538316340397567039e+00,-8.439418521518014416e+00,2.454400081088223473e+01
1.330000000000000071e+00,-7.632794096052103683e+00,-8.616934149433324919e+00,2.453710679519500815e+01
1.340000000000000080e+00,-7.735790326982550091e+00,-8.795867848640281039e+00,2.455243960943261072e+01
1.350000000000000089e+00,-7.846489549505780481e+00,-8.974703032983406104e+00,2.459037001986808590e+01
1.360000000000000098e+00,-7.963934444520361922e+00,-9.151802391077930920e+00,2.465110334863437558e+01
1.370000000000000107e+00,-8.087025857506558779e+00,-9.325407886309788452e+00,2.473467947372429165e+01
1.380000000000000115e+00,-8.214522798526326497e+00,-9.493640756835619143e+00,2.484097282899054093e+01
1.390000000000000124e+00,-8.345042442223316925e+00,-9.654501515582772697e+00,2.496969240414571800e+01
1.400000000000000133e+00,-8.477254107221533275e+00,-9.806086665004702496e+00,2.512036191313905320e+01
1.409999999999999920e+00,-8.610854410934432934e+00,-9.947308893397876162e+00,2.529205054074275338e+01
1.419999999999999929e+00,-8.744538513364901178e+00,-1.007553401715089869e+01,2.548343218998621396e+01
1.429999999999999938e+00,-8.876789810564961414e+00,-1.018814593007442859e+01,2.569292316738104276e+01
1.439999999999999947e+00,-9.006114099157402464e+00,-1.028286149794509541e+01,2.591867801424203677e+01
1.449999999999999956e+00,-9.131039576335773233e+00,-1.035773055850550328e+01,2.615858950668717853e+01
1.459999999999999964e+00,-9.250116839864380935e+00,-1.041113592146423628e+01,2.641028865563763262e+01
1.469999999999999973e+00,-9.361918888078292866e+00,-1.044179336849584416e+01,2.667114470681774563e+01
1.479999999999999982e+00,-9.465041119883336407e+00,-1.044875165324085842e+01,2.693826514075504619e+01
1.489999999999999991e+00,-9.558101334756099021e+00,-1.043139250130577977e+01,2.720849567278025205e+01
1.500000000000000000e+00,-9.639739732743930034e+00,-1.038943061026308534e+01,2.747842025302725943e+01
1.510000000000000009e+00,-9.708618914464935301e+00,-1.032291364965122682e+01,2.774436106643314659e+01
1.520000000000000018e+00,-9.763423881107984315e+00,-1.023222226097463050e+01,2.800237853273818445e+01
1.530000000000000027e+00,-9.802884484235029561e+00,-1.011801438742926962e+01,2.824829215642564861e+01
1.540000000000000036e+00,-9.826529351002029955e+00,-9.980370586402214528e+00,2.847852007813728292e+01
1.550000000000000044e+00,-9.834088742485315393e+00,-9.821945661325825583e+00,2.868995429838128075e+01
1.560000000000000053e+00,-9.825299088430549332e+00,-9.646219388951720930e+00,2.887973587767504924e+01
1.570000000000000062e+00,-9.800134596890648808e+00,-9.456505660792007717e+00,2.904543775485533530e+01
1.580000000000000071e+00,-9.758807254225780881e+00,-9.255952483119282093e+00,2.918506474707824339e+01
1.590000000000000080e+00,-9.701766825103362635e+00,-9.047541976966627431e+00,2.929705354981923193e+01
1.600000000000000089e+00,-9.629700852498064734e+00,-8.834090378127619658e+00,2.938027273687310981e+01
1.610000000000000098e+00,-9.543534657691809642e+00,-8.618248037156321928e+00,2.943402276035403276e+01
1.620000000000000107e+00,-9.444431340273768072e+00,-8.402499419367282840e+00,2.945803595069551761e+01
1.630000000000000115e+00,-9.333791778140364315e+00,-8.189163104835547102e+00,2.945247651665041744e+01
1.640000000000000124e+00,-9.213254627495272686e+00,-7.980391788396640429e+00,2.941794054529095348e+01
1.650000000000000133e+00,-9.084696322849421080e+00,-7.778172279646582865e+00,2.935545600200868677e+01
1.660000000000000142e+00,-8.950231077020983861e+00,-7.584325502941883457e+00,2.926648273051453586e+01
1.669999999999999929e+00,-8.811317984490825594e+00,-7.401577758474244817e+00,2.915352228495705944e+01
1.679999999999999938e+00,-8.668978429548765519e+00,-7.232839225795220095e+00,2.901888600939265217e+01
1.689999999999999947e+00,-8.524969081434475626e+00,-7.079631431966210364e+00,2.886403731332986311e+01
1.699999999999999956e+00,-8.380959973857041945e+00,-6.943194737554926554e+00,2.869063399018405036e+01
1.709999999999999964e+00,-8.238533282976229444e+00,-6.824489913952090703e+00,2.850052940025408432e+01
1.719999999999999973e+00,-8.099183327402487365e+00,-6.724198143371435954e+00,2.829577247072235480e+01
1.729999999999999982e+00,-7.964316568196942114e+00,-6.642721018849703896e+00,2.807860769565474968e+01
1.739999999999999991e+00,-7.835251608871399043e+00,-6.580180544246644558e+00,2.785147513600068336e+01
1.750000000000000000e+00,-7.713219195388347771e+00,-6.536419134245022633e+00,2.761701041959307190e+01
1.760000000000000009e+00,-7.599362216160955086e+00,-6.510999614350606812e+00,2.737804474114835074e+01
1.770000000000000018e+00,-7.494735702053069382e+00,-6.503205220892180449e+00,2.713760486226646051e+01
1.780000000000000027e+00,-7.400306826379218883e+00,-6.512039601021532675e+00,2.689891311143086483e+01
